Id,Label
0,Gareth J. F. Jones
1,Henning M&uuml;ller
2,Paolo Rosso
3,Maarten de Rijke
4,Luis Alfonso Ure&ntilde;a L&oacute;pez
5,Thomas Mandl 0001
6,Fernando Llopis
7,Julio Gonzalo
8,Anselmo Pe&ntilde;as
9,Paul D. Clough
10,Manuel Montes-y-G&oacute;mez
11,Julio Villena-Rom&aacute;n
12,Johannes Leveling
13,Rafael Mu&ntilde;oz 0001
14,Adrian Iftene
15,Nicola Ferro
16,Jussi Karlgren
17,Ray R. Larson
18,Carol Peters
19,Manuel Carlos D&iacute;az-Galiano
20,Jacques Savoy
21,Jos&eacute; Carlos Gonz&aacute;lez Crist&oacute;bal
22,Maximilian Eibl
23,Giorgio Maria Di Nunzio
24,Christa Womser-Hacker
25,Felisa Verdejo
26,Jaap Kamps
27,Douglas W. Oard
28,Davide Buscaldi
29,Sara Lana-Serrano
30,Alexis Joly
31,Luis Villase&ntilde;or Pineda
32,Benno Stein
33,Arturo Montejo-R&aacute;ez
34,Mar&iacute;a Teresa Mart&iacute;n-Valdivia
35,Allan Hanbury
36,Vivien Petras
37,Mirna Adriani
38,Fredric C. Gey
39,Martin Potthast
40,&Aacute;lvaro Rodrigo
41,Lorraine Goeuriot
42,Herv&eacute; Glotin
43,Jos&eacute; Luis Mart&iacute;nez-Fern&aacute;ndez
44,V&iacute;ctor Peinado
45,Richard F. E. Sutcliffe
46,Elisa Noguera
47,Mark Sanderson
48,Ana Garc&iacute;a-Serrano
49,Fernando Mart&iacute;nez Santiago
50,Miguel Angel Garc&iacute;a Cumbreras
51,Herv&eacute; Go&euml;au
52,&Aacute;ngel F. Zazo Rodr&iacute;guez
53,Jos&eacute; Luis Alonso Berrocal
54,Carlos G. Figuerola
55,Fernando L&oacute;pez-Ostenero
56,Valentin Jijkoun
57,Jean-Pierre Chevallet
58,Jens K&uuml;rsten
59,Sven Hartrumpf
60,Liadh Kelly
61,Jos&eacute; M. Perea-Ortega
62,Jos&eacute; Miguel Go&ntilde;i-Menoyo
63,Stephen Tomlinson
64,Nuno Cardoso
65,Josiane Mothe
66,Patrick Ruch
67,Thomas Deselaers
68,William R. Hersh
69,Adenike M. Lam-Adesina
70,Jos&eacute; Luis Vicedo Gonz&aacute;lez
71,Philippe Mulhem
72,Guido Zuccon
73,Hsin-Hsi Chen
74,Bogdan Sacaleanu
75,Bernardo Magnini
76,G&uuml;nter Neumann
77,Paul McNamee
78,Noriko Kando
79,Diana Santos
80,Jayashree Kalpathy-Cramer
81,Julien Gobeill
82,Paloma Mart&iacute;nez
83,Horacio Rodr&iacute;guez
84,Petya Osenova
85,Marijn Koolen
86,Martin Braschler
87,Pavel Pecina
88,Miguel E. Ruiz
89,Magnus Sahlgren
90,Mohand Boughanem
91,Efstathios Stamatatos
92,Romaric Besan&ccedil;on
93,David Pinto
94,Ingo Gl&ouml;ckner
95,Andreas Lommatzsch
96,Hanna Suominen
97,Martha Larson
98,M&aacute;rio J. Silva
99,Adrian Popescu 0001
100,C&eacute;sar de Pablo-S&aacute;nchez
101,Pierre Bonnet
102,Barbara Caputo
103,Jordi Turmo
104,Daniel Ferr&eacute;s
105,Alba Garcia Seco de Herrera
106,Patrice Bellot
107,Aur&eacute;lie N&eacute;v&eacute;ol
108,Eneko Agirre
109,Patricio Mart&iacute;nez-Barco
110,Arjen P. de Vries
111,Toine Bogers
112,Marcello Federico
113,Walter Daelemans
114,Rafael M. Terol
115,Hugo Jair Escalante
116,Arantxa Otegi
117,Jian-Yun Nie
118,Miguel &Aacute;ngel Garc&iacute;a Cumbreras
119,Pamela Forner
120,Grigori Sidorov
121,Ren&eacute; Hackl
122,Steven Bedrick
