Source,Target
26,1582
49,70
49,70
259,263
259,263
36,38
36,38
36,38
2,306
2,306
36,38
36,38
36,38
36,38
36,38
36,38
36,38
2,304
2,304
2,304
2,304
1138,1911
1138,1911
49,61
49,61
49,61
49,61
1322,2158
278,2006
335,1490
559,3424
946,3531
513,790
259,276
259,276
123,1999
1897,3747
1955,2551
51,2458
36,47
3,648
3,648
3,648
123,1995
3,648
3,660
3,660
81,3600
472,3325
1868,3228
2378,3339
1978,2876
0,1712
0,1712
2200,2985
2,325
389,1012
389,1012
2,325
23,24
23,24
23,24
23,24
23,24
2654,3137
248,599
1763,3109
1303,2741
1075,1535
3,671
3,671
3,671
3,671
1926,3374
775,1769
775,1769
23,38
23,38
23,38
23,38
23,38
1268,2939
535,2418
99,3106
235,2978
690,3049
2354,2356
2080,3130
2131,2386
51,1180
51,1180
2911,3512
490,552
490,552
490,552
490,552
490,552
23,47
23,47
23,47
23,47
550,788
550,788
550,788
550,788
248,3498
1356,2952
634,913
634,913
10,32
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
10,31
359,1147
359,1147
36,86
1520,1708
1520,1708
2424,3618
742,755
742,755
10,39
2,365
2,365
2,365
104,712
104,712
104,712
104,712
853,3282
1438,1459
1438,1459
153,1824
153,1824
259,292
259,292
286,874
286,874
286,874
23,86
600,3402
453,1345
23,79
23,79
23,79
23,79
23,79
125,3309
3040,3705
530,2168
97,359
97,359
97,359
97,359
97,359
97,359
161,3385
0,1772
0,1772
101,1040
101,1040
295,1363
495,3619
295,1363
583,2397
441,592
3199,3433
975,2770
1286,2967
11,100
11,100
11,100
11,100
36,400
36,400
341,2903
794,1102
794,1102
103,446
103,446
103,446
103,446
2553,2683
36,403
36,403
36,403
36,403
2460,3654
845,1732
14,1733
14,1733
12,444
12,444
2529,3771
465,2456
102,126
102,126
140,404
140,404
2577,3698
3199,3409
488,1455
1867,2528
1550,1650
1550,1650
101,1023
101,1023
101,1023
272,296
272,296
272,296
272,296
272,296
272,296
846,3733
1175,2693
705,2245
1862,3559
1115,2978
389,1082
389,1082
1550,1632
